Exercise Name,Main Muscle Groups,Experience Level,Focus Type,Equipment,Description,Tutorial
Push-Up,"Chest, Shoulders, Core",Beginner,"Strength, Compound",Body Only,"The push-up is a fundamental bodyweight exercise that primarily targets the chest, shoulders, and triceps, while also engaging the core and other stabilizing muscles","('Place your hands on the ground, slightly wider than shoulder-width apart', 'Extend your legs straight behind you, with your feet together or slightly apart', 'Tighten your core muscles to keep your body straight and avoid sagging in the lower back', 'Inhale as you bend your elbows and lower your body toward the ground', 'Exhale as you push through your palms to straighten your arms and lift your body back to the starting position')"
Barbell Bench Press,"Chest, Triceps, Shoulders",Beginner,"Strength, Compound",Barbell,"The barbell chest press, also known as the barbell bench press, is a fundamental exercise for building upper body strength, specifically targeting the pectoral muscles, triceps, and shoulders","('Load the barbell with an appropriate amount of weight for your fitness level', 'Grip the barbell with both hands slightly wider than shoulder-width apart', 'Unrack the barbell by straightening your arms and moving the barbell over your chest', 'Inhale deeply and lower the barbell slowly and under control to your mid-chest', 'Exhale and press the barbell back up to the starting position by fully extending your arms')"
Cable Lat Pulldown (Wide Grip),"Back, Shoulders",Intermediate,"Strength, Compound, Strength",Machine - Strength,The wide-grip lat pulldown is one of the classic bodybuilding exercises used to help build a stronger back,"('Start by sitting under a cable pull down machine that has a wide bar attachment and grab it with a wide overhand grip.', 'While keeping your abs drawn in and back straight, pull down the bar to your upper chest.', 'Hold for a count at the bottom position, squeeze your lats and then slowly return back to the starting position.')"
Dumbbell Lateral Raise,Shoulders,Beginner,"Strength, Isolation",Dumbbell,"A Dumbbell Lateral Raise is an effective exercise for targeting the lateral deltoid muscles, which are located on the sides of your shoulders","('Stand with feet shoulder-width apart', 'Your arms should hang down by your sides with your palms facing your body (neutral grip)', 'Tighten your abdominal muscles to maintain a stable torso throughout the movement', 'Begin the movement by raising your arms out to the sides until they are at shoulder height', 'Lift the weights in a controlled manner, avoiding momentum or swinging', 'Once your arms reach shoulder height, pause for a brief moment', 'Lower the weights back to the starting position in a controlled manner')"
Machine Leg Extension,Upper Legs,Beginner,"Strength, Isolation, Strength",Machine - Strength,The leg extension exercise is a staple in weight lifting for building strong legs and overall body strength,"('Begin by adjusting the seat of the leg extension bench so that your knees have a full range of motion and the footpad fits over your legs above your ankles.', 'Take hold of the machine handles, keeping your hips and back up against the bench, and slowly extend your legs until your legs are straight.', 'Hold this position for a count, then return back to the start.', 'Repeat for as many reps and sets as desired.', 'Use controlled movements for this exercise, do not swing the weight up.', 'Refrain from locking your knees as this can result in injury.')"
Cable Tricep Pushdown (Rope),Triceps,Beginner,"Strength, Isolation, Strength",Machine - Strength,The rope triceps pushdown exercise uses a rope to target the triceps muscle for better definition and bigger arms,"('Start off standing in front of a cable machine, attaching a rope to the high pulley and grabbing the attachment with an overhand (palms down) grip.', 'Keeping your abs drawn in, back straight and elbows in at your sides, push the rope down towards your thighs.', 'As you push down towards your thighs, split the rope apart at the bottom and isolate the tricep muscle.', 'Hold this position for a count and return back up to the starting position.', 'Repeat for as many reps and sets as desired.')"
Dumbbell Incline Bench Press,Chest,Beginner,"Strength, Compound",Dumbbell,"The Dumbbell Incline Bench Press is an effective exercise for targeting the upper portion of the pectoral muscles, as well as the shoulders and triceps","('Adjust the bench to an incline position (30-45 degrees)', 'Lie back on the bench with your feet flat on the floor for stability', 'Push the dumbbells up toward the ceiling by extending your elbows and pressing the weights together until your arms are fully extended', 'Slowly lower the dumbbells back to the starting position with controlled movement', 'Inhale as you lower the dumbbells')"
Cable Seated Row,Back,Beginner,"Strength, Compound, Strength",Machine - Strength,The cable seated row is a popular exercise targeting the muscles of the upper and middle back,"('Attach the desired handle to the cable row machine', 'Sit down on the machine with your feet securely placed on the footrests', 'Pull the handle towards your torso, leading with your elbows', 'Pull the handle until it reaches your torso, typically around the lower chest or upper abdomen', 'Slowly extend your arms and return the handle to the starting position, maintaining control of the weight throughout the movement')"
Barbell Squat,Upper Legs,Beginner,"Strength, Compound",Barbell,"The barbell squat is a fundamental exercise for building lower body strength, targeting the quadriceps, hamstrings, glutes, and core","('Load the barbell with the desired weight and position it on a squat rack at about shoulder height', 'Position the barbell across your upper back (trapezius muscles), not your neck', 'Stand up to lift the barbell off the rack, taking a step or two back to clear the rack', 'Keep your chest up, back straight, and core engaged', 'Inhale deeply to brace your core', 'Exhale and push through your heels to stand back up')"
Dumbbell Seated Shoulder Press,"Shoulders, Core",Intermediate,"Strength, Compound",Dumbbell,"The Dumbbell Seated Shoulder Press is an excellent exercise for building strength and size in your shoulder muscles, particularly the deltoids, as well as engaging the triceps and upper chest","('Select a pair of dumbbells that allows you to perform the exercise with good form for the desired number of repetitions', 'Set a bench to an upright position with a backrest for support', 'Sit on the bench with your back firmly against the backrest', 'Lift the dumbbells to shoulder height with a pronated grip (palms facing forward)', 'Tighten your core muscles to stabilize your body throughout the movement', 'Exhale as you press the dumbbells upward until your arms are fully extended above your head', 'Inhale as you slowly lower the dumbbells back to the starting position at shoulder height')"
